sample_index,split,true_label_id,true_label_name,predicted_label_id,predicted_label_name,confidence_of_predicted_class,confidence_of_true_class,top2_predicted_label_name,top2_predicted_confidence,gesture,person,session,take,sample_path,original_sample_path,is_correct
338,test,3,defense_fire,3,defense_fire,0.53178126,0.53178126,attack_fire,0.45396125,defense_fire,rin,s15,take_001,data\raw\openpose_json\defense_fire\rin\s15\take_001,data\raw\openpose_json\defense_fire\rin\s15\take_001,True
330,test,3,defense_fire,3,defense_fire,0.57871556,0.57871556,attack_fire,0.4183198,defense_fire,p2,s1,take_001,data\raw\openpose_json\defense_fire\p2\s1\take_001,data\raw\openpose_json\defense_fire\p2\s1\take_001,True
424,test,8,idle,8,idle,0.5803841,0.5803841,defense_earth,0.41746727,idle,luis,s6,take_001,data\raw\openpose_json\idle\luis\s6\take_001,data\raw\openpose_json\idle\luis\s6\take_001,True
306,test,3,defense_fire,3,defense_fire,0.67241865,0.67241865,attack_fire,0.32734743,defense_fire,luis,s1,take_001,data\raw\openpose_json\defense_fire\luis\s1\take_001,data\raw\openpose_json\defense_fire\luis\s1\take_001,True
448,test,8,idle,8,idle,0.77674186,0.77674186,defense_earth,0.22270648,idle,rin,s2,take_005,data\raw\openpose_json\idle\rin\s2\take_005,data\raw\openpose_json\idle\rin\s2\take_005,True
78,test,6,attack_earth,6,attack_earth,0.77749175,0.77749175,defense_water,0.07948134,attack_earth,rin,s10,take_001,data\raw\openpose_json\attack_earth\rin\s10\take_001,data\raw\openpose_json\attack_earth\rin\s10\take_001,True
452,test,8,idle,8,idle,0.77909005,0.77909005,defense_earth,0.22004855,idle,rin,s2,take_009,data\raw\openpose_json\idle\rin\s2\take_009,data\raw\openpose_json\idle\rin\s2\take_009,True
350,test,3,defense_fire,3,defense_fire,0.7854959,0.7854959,attack_fire,0.21417812,defense_fire,rin,s3,take_001,data\raw\openpose_json\defense_fire\rin\s3\take_001,data\raw\openpose_json\defense_fire\rin\s3\take_001,True
280,test,7,defense_earth,7,defense_earth,0.8093306,0.8093306,idle,0.18965909,defense_earth,rin,s1,take_002,data\raw\openpose_json\defense_earth\rin\s1\take_002,data\raw\openpose_json\defense_earth\rin\s1\take_002,True
361,test,5,defense_water,5,defense_water,0.815129,0.815129,attack_earth,0.11172608,defense_water,luis,s13,take_001,data\raw\openpose_json\defense_water\luis\s13\take_001,data\raw\openpose_json\defense_water\luis\s13\take_001,True
88,test,6,attack_earth,6,attack_earth,0.82286966,0.82286966,defense_earth,0.08535699,attack_earth,rin,s2,take_001,data\raw\openpose_json\attack_earth\rin\s2\take_001,data\raw\openpose_json\attack_earth\rin\s2\take_001,True
354,test,3,defense_fire,3,defense_fire,0.83441746,0.83441746,attack_fire,0.16554216,defense_fire,rin,s7,take_001,data\raw\openpose_json\defense_fire\rin\s7\take_001,data\raw\openpose_json\defense_fire\rin\s7\take_001,True
278,test,7,defense_earth,7,defense_earth,0.83446777,0.83446777,idle,0.16443425,defense_earth,p1,s1,take_001,data\raw\openpose_json\defense_earth\p1\s1\take_001,data\raw\openpose_json\defense_earth\p1\s1\take_001,True
95,test,6,attack_earth,6,attack_earth,0.8437132,0.8437132,defense_earth,0.10989368,attack_earth,rin,s3,take_001,data\raw\openpose_json\attack_earth\rin\s3\take_001,data\raw\openpose_json\attack_earth\rin\s3\take_001,True
109,test,2,attack_fire,2,attack_fire,0.85213864,0.85213864,defense_fire,0.14537904,attack_fire,luis,s16,take_001,data\raw\openpose_json\attack_fire\luis\s16\take_001,data\raw\openpose_json\attack_fire\luis\s16\take_001,True
207,test,1,defense_air,1,defense_air,0.8634796,0.8634796,attack_earth,0.1209638,defense_air,luis,s12,take_001,data\raw\openpose_json\defense_air\luis\s12\take_001,data\raw\openpose_json\defense_air\luis\s12\take_001,True
423,test,8,idle,8,idle,0.8691145,0.8691145,defense_earth,0.12648718,idle,luis,s1,take_016,data\raw\openpose_json\idle\luis\s1\take_016,data\raw\openpose_json\idle\luis\s1\take_016,True
435,test,8,idle,8,idle,0.87782,0.87782,defense_earth,0.12100572,idle,rin,s1,take_002,data\raw\openpose_json\idle\rin\s1\take_002,data\raw\openpose_json\idle\rin\s1\take_002,True
93,test,6,attack_earth,6,attack_earth,0.9057681,0.9057681,defense_air,0.076426655,attack_earth,rin,s24,take_001,data\raw\openpose_json\attack_earth\rin\s24\take_001,data\raw\openpose_json\attack_earth\rin\s24\take_001,True
152,test,2,attack_fire,2,attack_fire,0.9475754,0.9475754,defense_fire,0.052253753,attack_fire,rin,s9,take_001,data\raw\openpose_json\attack_fire\rin\s9\take_001,data\raw\openpose_json\attack_fire\rin\s9\take_001,True
100,test,6,attack_earth,6,attack_earth,0.951688,0.951688,attack_fire,0.027703209,attack_earth,rin,s8,take_001,data\raw\openpose_json\attack_earth\rin\s8\take_001,data\raw\openpose_json\attack_earth\rin\s8\take_001,True
98,test,6,attack_earth,6,attack_earth,0.95317996,0.95317996,attack_fire,0.022798572,attack_earth,rin,s6,take_001,data\raw\openpose_json\attack_earth\rin\s6\take_001,data\raw\openpose_json\attack_earth\rin\s6\take_001,True
